<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20240411;110000;31.59;31.74;31.33;31.43;11709600
20240411;120000;31.425;31.55;31.35;31.465;3181300
20240411;130000;31.45;31.455;31.205;31.345;4869900
20240411;140000;31.34;31.395;31.23;31.355;2286000
20240411;150000;31.35;31.355;30.91;31.155;5294100
20240411;160000;31.15;31.18;31.01;31.15;3229100
20240411;170000;31.13;31.225;31.13;31.195;1300500
20240411;180000;31.19;31.195;30.95;31.065;4979600
20240411;190000;31.065;31.08;30.94;31;3028400
20240411;200000;31;31.015;30.945;31;1809400
20240411;210000;31;31.165;30.99;31.155;1611300
20240411;220000;31.145;31.165;31.05;31.09;1460000
20240411;230000;31.09;31.17;31.085;31.13;757400
20240412;000000;31.13;31.175;31.09;31.14;737000
20240412;110000;31.215;31.41;31.07;31.295;6650600
20240412;120000;31.295;31.63;31.225;31.46;10812900
20240412;130000;31.465;31.895;31.465;31.79;23427900
20240412;140000;31.795;31.8;31.625;31.76;12329300
20240412;150000;31.775;31.8;31.665;31.69;5751000
20240412;160000;31.69;31.69;31.45;31.545;7369800
20240412;170000;31.545;31.78;31.535;31.64;3464700
20240412;180000;31.64;31.775;31.57;31.77;3885000
20240412;190000;31.765;31.775;31.61;31.625;3127200
20240412;200000;31.63;31.7;31.51;31.58;2875400
20240412;210000;31.585;31.615;31.55;31.6;1248600
20240412;220000;31.6;31.71;31.5;31.555;2890300
20240412;230000;31.555;31.555;31.4;31.5;2408700
20240413;000000;31.495;31.495;31.34;31.42;2103800
20240415;110000;31.75;32.39;31.615;32.325;54597000
20240415;120000;32.325;32.515;32.125;32.49;16920900
20240415;130000;32.49;32.675;32.385;32.6;26664300
20240415;140000;32.6;32.65;32.31;32.44;13846900
20240415;150000;32.44;32.6;32.365;32.41;8306400
20240415;160000;32.42;32.505;32.28;32.46;10913000
20240415;170000;32.46;32.585;32.435;32.46;5798600
20240415;180000;32.47;32.49;32.26;32.425;6323000
20240415;190000;32.43;32.45;32.35;32.35;3612200
20240415;200000;32.445;32.485;32.37;32.485;1753800
20240415;210000;32.48;32.495;32.41;32.42;1828100
20240415;220000;32.42;32.5;32.405;32.495;1968000
20240415;230000;32.495;32.675;32.47;32.675;6994800
20240416;000000;32.67;32.75;32.665;32.74;5342200
20240416;110000;32.81;32.89;32.43;32.8;31560100
20240416;120000;32.8;32.98;32.58;32.915;16796500
20240416;130000;32.925;33.11;32.735;33.03;16107200
20240416;140000;33.025;33.39;33;33.2;14484400
20240416;150000;33.195;33.25;32.965;33.065;12561600
20240416;160000;33.06;33.13;32.93;32.95;3495800
20240416;170000;32.95;33.085;32.82;33.01;3572700
20240416;180000;33.01;33.03;32.88;32.885;2165700
20240416;190000;32.88;32.93;32.79;32.79;2947800
20240416;200000;32.79;32.885;32.63;32.765;4700200
20240416;210000;32.765;33.04;32.765;32.895;2968300
20240416;220000;32.9;32.92;32.8;32.85;1224600
20240416;230000;32.855;32.94;32.795;32.88;773300
20240417;000000;32.875;32.995;32.83;32.94;1311400
20240417;110000;32.975;33.075;32.61;32.775;8530600
20240417;120000;32.78;32.95;32.57;32.665;6515100
20240417;130000;32.66;32.75;32.2;32.345;12401600
20240417;140000;32.34;32.53;32.255;32.49;4174300
20240417;150000;32.49;32.53;32.285;32.285;3850300
20240417;160000;32.285;32.4;32.155;32.39;6239100
20240417;170000;32.385;32.4;32.29;32.37;1647600
20240417;180000;32.37;32.44;32.32;32.435;2424500
20240417;190000;32.43;32.57;32.37;32.37;4932600
20240417;200000;32.31;32.415;32.295;32.33;1223200
20240417;210000;32.33;32.34;32.245;32.33;1064300
20240417;220000;32.32;32.39;32.3;32.355;600400
20240417;230000;32.36;32.43;32.32;32.32;1021000
20240418;000000;32.32;32.32;32.23;32.26;957100
20240418;110000;32.26;32.54;32.01;32.12;13073100
20240418;120000;32.12;32.28;32;32.115;5494300
20240418;130000;32.115;32.225;32.1;32.16;2281200
20240418;140000;32.155;32.165;32.025;32.025;2305600
20240418;150000;32.045;32.065;31.84;32.04;5883900
20240418;160000;32.04;32.83;31.975;32.62;25826800
20240418;170000;32.62;32.845;32.545;32.76;6345400
20240418;180000;32.75;32.77;32.53;32.64;3396200
20240418;190000;32.625;32.79;32.62;32.62;2238500
20240418;200000;32.615;32.985;32.615;32.87;4690500
20240418;210000;32.87;32.875;32.75;32.83;993900
20240418;220000;32.83;32.84;32.755;32.795;482700
20240418;230000;32.78;32.94;32.75;32.905;1446300
20240419;000000;32.925;32.95;32.86;32.9;1635200
20240419;110000;32.96;33.945;32.96;33.575;59583300
20240419;120000;33.575;33.77;33.46;33.64;14391400
20240419;130000;33.645;33.75;33.27;33.43;14121900
20240419;140000;33.435;33.585;33.32;33.575;8661300
20240419;150000;33.575;33.95;33.53;33.785;13340800
20240419;160000;33.78;34.26;33.75;34.1;26046100
20240419;170000;34.1;34.1;33.94;34.035;11444800
20240419;180000;34.035;34.21;33.975;34.145;9297800
20240419;190000;34.13;34.21;34.09;34.175;4793200
20240419;200000;34.18;34.34;34.165;34.22;9260200
20240419;210000;34.22;34.345;34.215;34.31;6256600
20240419;220000;34.31;34.34;34.22;34.31;5856400
20240419;230000;34.31;34.325;34.14;34.195;6539300
20240420;000000;34.2;34.26;34.16;34.24;4971800
20240422;110000;34.36;35.1;33.84;35.06;65024700
20240422;120000;35.05;35.24;34.905;35.22;27895000
20240422;130000;35.22;35.9;35.21;35.765;47413200
20240422;140000;35.775;35.85;35.465;35.68;16516900
20240422;150000;35.68;35.69;34.9;34.99;33773100
