<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20240412;000000;31.59;31.74;30.91;31.14;46253600
20240413;000000;31.215;31.895;31.07;31.42;88345200
20240416;000000;31.75;32.75;31.615;32.74;164869200
20240417;000000;32.81;33.39;32.43;32.94;114669600
20240418;000000;32.975;33.075;32.155;32.26;55581700
20240419;000000;32.26;32.985;31.84;32.9;76093600
20240420;000000;32.96;34.345;32.96;34.24;194564900
20240423;000000;34.36;35.9;33.84;34.96;273067500
20240424;000000;34.9;35.385;33.34;33.435;186034100
20240425;000000;33.525;33.88;32.9;33.02;106752200
20240426;000000;33.02;33.73;32.99;33.355;54384000
20240427;000000;33.385;33.87;33.15;33.405;55644100
20240428;000000;33.4;34.87;33.35;34.47;141680800
20240430;000000;34.695;35.495;34.605;35.485;73259900
20240501;000000;35.5;35.745;34.85;35.005;62083700
20240503;000000;35;35.14;34.61;34.91;39896600
20240504;000000;34.795;35.49;34.665;35.2;63098100
20240507;000000;35.39;36.225;35.355;35.845;130941800
20240508;000000;35.92;36.695;35.91;36.49;82013900
20240509;000000;36.585;36.835;35.95;36.36;60483200
20240511;000000;36.485;37.05;36.46;36.96;40420100
20240514;000000;37.18;37.465;35.635;35.99;147408900
20240515;000000;36.005;36.15;35.335;35.435;77156600
20240516;000000;35.525;35.53;33.77;33.82;178350000
20240517;000000;33.815;34.475;33.5;34.06;84197200
20240518;000000;34.135;34.26;33.18;33.275;67888300
20240521;000000;33.345;33.65;32.375;33.15;99406800
20240522;000000;33.175;33.96;32.6;32.97;67610000
20240523;000000;32.97;33.325;32.8;32.88;27410800
20240524;000000;32.885;33.49;32.605;32.79;37891200
20240525;000000;32.85;32.97;31.545;31.74;71755200
20240528;000000;31.715;31.945;30.065;30.17;87029400
20240529;000000;30.405;31;29.55;30.16;94105700
20240530;000000;30.23;30.72;29.9;30.64;46513200
20240531;000000;30.785;30.84;29.25;29.49;53171200
20240601;000000;29.34;30.155;28.175;28.58;74764500
20240604;000000;28.78;29.235;26.7;28.43;154430700
20240605;000000;28.3;28.995;27.7;28.865;75785900
20240606;000000;28.9;29.3;28.32;28.64;58300200
20240607;000000;28.675;28.935;28.36;28.79;26940200
20240608;000000;28.82;30.165;28.74;29.83;74650400
20240611;000000;30.105;30.49;28.565;29.12;84650000
20240612;000000;29.07;29.345;28.405;29.07;52513900
