<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200402;000000;33.37;35.4;32.71;35;157068500
20200403;000000;36.15;37.09;34.525;35.67;188715000
20200404;000000;35.9;37.5;35.255;36.385;211742300
20200407;000000;37.29;37.65;36.69;37.25;96148600
20200408;000000;37.62;38.435;36.64;37.2;98532600
20200409;000000;36.895;37.1;35.08;36.875;100693600
20200410;000000;37.515;38.08;36.6;37.52;108325200
20200411;000000;37.42;37.475;36.25;37.08;35613400
20200414;000000;36.98;37.05;36.01;36.01;39645300
20200415;000000;36.105;36.69;35.335;35.65;65378900
20200416;000000;35.13;35.25;33.29;33.75;89455400
20200417;000000;33.9;35.025;32.96;34.295;84075200
20200418;000000;34.715;34.85;33.965;34.36;48527000
20200421;000000;33.5;34.49;33.415;33.995;46795000
20200422;000000;33.15;34.17;32.5;33.55;93829600
20200423;000000;33.285;35.78;33.2;35.67;85243800
20200424;000000;36.38;36.475;35.115;35.885;71743100
20200425;000000;35.7;35.845;34.67;35.125;59669700
20200428;000000;35.085;35.635;34.84;35;37352000
20200429;000000;35.02;37.48;34.955;36.8;80256300
20200430;000000;36.99;37.705;36.81;37.435;54254800
20200501;000000;37.945;38.25;36.45;37.115;60183800
20200505;000000;36.6;36.77;35.81;36.41;39569500
20200506;000000;36.955;37.315;36.48;36.845;38064500
20200507;000000;37.03;37.165;35.72;35.72;66181400
20200508;000000;35.925;36.925;35.6;36.54;64553500
20200509;000000;36.68;37.4;36.235;37.2;38995700
20200513;000000;37.08;37.49;36.8;37.16;31447100
20200514;000000;37;37.005;36.25;36.445;38875400
20200515;000000;36.18;39.345;35.865;39.28;112245000
20200516;000000;39.605;41;38.92;40.145;184974200
20200519;000000;40.74;41.275;40.315;40.6;87771700
20200520;000000;40.9;40.95;39.405;40.04;64329800
20200521;000000;39.8;41.5;39.505;40.795;94735200
20200522;000000;40.865;41.18;38.61;39;80923200
20200523;000000;38.725;39.96;37.745;39.8;63792400
20200526;000000;39.885;41.895;39.855;41.825;61323700
