<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200213,000000,9,9,8.89,8.9,1149300
20200214,000000,8.95,9.04,8.8,8.8,1816500
20200215,000000,8.85,9.03,8.8,8.9,1300700
20200218,000000,9,9.09,8.92,8.95,1238400
20200219,000000,8.94,8.98,8.81,8.88,920400
20200220,000000,8.93,8.93,8.8,8.88,433200
20200221,000000,8.9,8.94,8.8,8.84,1126100
20200222,000000,8.8,8.88,8.7,8.83,1303900
20200226,000000,8.65,8.76,8.42,8.6,1086200
20200227,000000,8.52,8.6,7.79,8.38,3294800
20200228,000000,8.35,8.37,8,8,1736100
20200229,000000,8.01,8.02,6.9,7.07,6734100
20200303,000000,7.29,7.77,6.8,7,2058200
20200304,000000,7.45,7.49,7.07,7.37,949700
20200305,000000,7.3,7.48,6.96,7.24,804800
20200306,000000,7.27,7.46,7.05,7.17,798900
20200307,000000,7.17,7.17,6.8,6.99,1511400
20200311,000000,6.48,6.95,5.6,6.7,1669000
20200312,000000,6.63,6.9,6.5,6.59,787500
20200313,000000,6.28,6.28,5.66,5.66,1825100
20200314,000000,5.61,6.27,5.57,5.66,1792600
20200317,000000,5.86,5.86,4.86,5.4,1695600
20200318,000000,5.48,5.53,4.98,5.08,1148400
20200319,000000,4.91,4.95,4.63,4.71,795900
20200320,000000,4.61,4.98,4.61,4.88,841700
20200321,000000,5.2,5.72,4.9,4.9,2414600
20200324,000000,4.81,5.38,4.62,5.13,964800
20200325,000000,5.14,6,5.1,5.51,2056400
20200326,000000,5.63,6,5.32,5.64,1992300
20200327,000000,5.51,5.9,5.05,5.73,716800
20200328,000000,5.75,5.75,5.49,5.64,591100
20200331,000000,5.75,5.75,5.3,5.59,465600
20200401,000000,5.69,5.88,5.66,5.74,549500
20200402,000000,5.7,6.5,5.61,5.97,1788300
20200403,000000,6.07,7,6.07,6.54,4244300
20200404,000000,6.68,6.95,6.55,6.74,2623100
20200407,000000,6.8,6.89,6.67,6.75,702200
20200408,000000,6.76,6.92,6.54,6.6,1567700
20200409,000000,6.6,6.66,6.3,6.55,478100
20200410,000000,6.61,6.78,6.52,6.67,918000
20200411,000000,6.67,7.18,6.66,7.08,1568700
20200414,000000,7.03,7.16,6.67,6.8,1632600
20200415,000000,6.88,6.9,6.54,6.56,1254900
20200416,000000,6.55,6.56,6.03,6.12,2410000
20200417,000000,6.15,6.31,6.03,6.21,2368700
20200418,000000,6.32,6.37,6.07,6.22,1470900
20200421,000000,6.3,6.35,6.17,6.35,958600
20200422,000000,6.19,6.35,5.93,6.18,1824600
20200423,000000,6.18,6.25,6.08,6.16,1748100
20200424,000000,6.3,6.3,6.12,6.22,601200
20200425,000000,6.22,6.74,6.19,6.32,1458400
20200428,000000,6.48,6.52,6.2,6.38,985400
20200429,000000,6.37,6.42,6.2,6.24,1313500
20200430,000000,6.32,6.38,6.27,6.35,602900
20200501,000000,6.43,6.5,6.33,6.44,741000
20200505,000000,6.3,6.59,6.3,6.36,553500
20200506,000000,6.41,6.6,6.3,6.54,960800
20200507,000000,6.58,6.66,6.51,6.58,787600
20200508,000000,6.5,6.62,6.5,6.6,403000
20200509,000000,6.58,6.58,6.45,6.51,562500
20200513,000000,6.5,6.52,6.39,6.5,700900
20200514,000000,6.42,6.49,6.34,6.41,305300
20200515,000000,6.41,6.42,6.3,6.36,435100
20200516,000000,6.4,6.4,6.28,6.31,209500
20200519,000000,6.3,6.95,6.3,6.6,1653900
20200520,000000,6.68,6.7,6.61,6.65,253400
20200521,000000,6.64,6.72,6.46,6.65,1218500
20200522,000000,6.66,6.71,6.61,6.68,380100
20200523,000000,6.62,6.8,6.6,6.79,564100
20200526,000000,6.8,7.19,6.79,7.14,1746900
20200527,000000,7.07,7.33,6.84,7,1584300
20200528,000000,6.89,7.14,6.89,7.1,1112100
20200529,000000,7.02,7.29,6.98,7.22,997700
20200530,000000,7.23,7.24,7.09,7.17,445200
20200602,000000,7.2,7.36,7.11,7.36,1007800
20200603,000000,7.38,7.8,7.34,7.59,2854500
20200604,000000,7.62,7.81,7.51,7.75,1237300
20200605,000000,7.72,7.84,7.61,7.65,859400
20200606,000000,7.57,7.77,7.38,7.77,610700
20200609,000000,7.59,8,7.59,7.9,774600
20200610,000000,7.79,8,7.4,7.57,1139700
20200611,000000,7.69,7.75,7.21,7.38,830400
20200612,000000,7.27,7.36,6.8,7,6494100
20200616,000000,6.92,7.19,6.82,7.06,1053000
20200617,000000,7.19,7.7,7.12,7.3,2044900
20200618,000000,7.4,7.4,7.03,7.11,1093700
20200619,000000,7.19,7.2,7.05,7.13,453600
20200620,000000,7.16,7.35,7.16,7.26,658900
20200623,000000,7.38,7.38,7.16,7.27,188000
20200624,000000,7.3,7.35,7.19,7.27,708200
20200626,000000,7.35,7.35,7.07,7.2,603600
20200627,000000,7.29,7.29,7.21,7.25,615100
20200630,000000,7.2,7.44,7.16,7.39,1165500
20200701,000000,7.3,7.39,7.22,7.33,693400
20200703,000000,7.31,7.36,7.22,7.27,541800
20200704,000000,7.25,7.34,7.24,7.3,472000
20200707,000000,7.32,7.39,6.88,7.34,1678300
20200708,000000,7.43,7.59,7.29,7.39,317200
20200709,000000,7.32,7.47,7.32,7.46,346700
20200710,000000,7.47,7.54,7.4,7.49,400600
20200711,000000,7.43,7.68,7.38,7.58,340300
20200714,000000,7.6,7.84,7.52,7.77,1057800
20200715,000000,7.62,7.7,7.46,7.57,1256700
20200716,000000,7.46,7.68,7.45,7.6,1336700
20200717,000000,7.64,7.7,7.53,7.57,890700
20200718,000000,7.54,7.62,7.5,7.54,1408700
20200721,000000,7.6,7.71,7.55,7.69,1218000
20200722,000000,7.7,7.94,7.7,7.82,1950700
20200723,000000,7.85,7.91,7.77,7.83,197700
20200724,000000,7.76,7.86,7.62,7.67,829900
20200725,000000,7.66,7.72,7.59,7.72,505000
20200728,000000,7.57,7.8,7.57,7.72,639100
20200729,000000,7.72,7.81,7.69,7.73,763400
20200730,000000,7.68,7.87,7.68,7.77,500300
20200731,000000,7.78,7.78,7.62,7.69,1194400
20200801,000000,7.65,7.71,7.6,7.61,305900
20200804,000000,7.71,7.71,7.5,7.66,821800
20200805,000000,7.6,7.7,7.58,7.62,772900
20200806,000000,7.66,7.7,7.56,7.62,676400
20200807,000000,7.57,7.7,7.57,7.68,1129400
20200808,000000,7.64,7.68,7.48,7.62,455100
20200811,000000,7.64,7.67,7.53,7.58,839100
20200812,000000,7.66,7.68,7.49,7.56,437600
20200813,000000,7.5,7.58,7.5,7.53,381300
20200814,000000,7.56,7.7,7.47,7.61,614200
20200815,000000,7.66,7.68,7.52,7.62,431700
20200818,000000,7.62,7.69,7.48,7.64,1147200
20200819,000000,7.64,7.74,7.59,7.61,1115500
20200820,000000,7.6,7.68,7.56,7.63,297100
20200821,000000,7.62,7.62,7.55,7.56,261600
20200822,000000,7.59,7.8,7.5,7.56,1127200
20200825,000000,7.62,7.75,7.56,7.61,264600
20200826,000000,7.6,7.69,7.56,7.63,335100
20200827,000000,7.64,7.67,7.58,7.63,220100
20200828,000000,7.6,7.64,7.52,7.61,502800
20200829,000000,7.6,7.62,7.56,7.58,113900
20200901,000000,7.57,7.61,7,7.58,831400
