<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
230601;100100;24.475;24.56;24.46;24.56;312500
230601;100200;24.55;24.56;24.515;24.515;31400
230601;100300;24.515;24.54;24.515;24.515;37800
230601;100400;24.52;24.52;24.505;24.505;19700
230601;100500;24.505;24.505;24.475;24.485;71700
230601;100600;24.485;24.5;24.48;24.5;20300
230601;100700;24.5;24.505;24.495;24.5;64600
230601;100800;24.5;24.52;24.5;24.515;114300
230601;100900;24.52;24.555;24.515;24.555;54400
230601;101000;24.545;24.545;24.525;24.53;9100
230601;101100;24.525;24.55;24.525;24.55;65200
230601;101200;24.545;24.545;24.53;24.54;11100
230601;101300;24.54;24.54;24.525;24.525;23000
230601;101400;24.54;24.54;24.52;24.52;83700
230601;101500;24.52;24.525;24.38;24.455;354200
230601;101600;24.45;24.46;24.435;24.45;18600
230601;101700;24.455;24.48;24.41;24.41;58900
230601;101800;24.425;24.44;24.41;24.415;14600
230601;101900;24.44;24.44;24.405;24.405;7700
230601;102000;24.405;24.41;24.4;24.405;31100
230601;102100;24.405;24.41;24.4;24.4;12900
230601;102200;24.41;24.455;24.405;24.455;33700
230601;102300;24.465;24.505;24.46;24.48;57200
230601;102400;24.485;24.495;24.465;24.465;18200
230601;102500;24.49;24.53;24.49;24.515;97300
230601;102600;24.525;24.55;24.52;24.53;43800
230601;102700;24.52;24.55;24.51;24.55;35200
230601;102800;24.52;24.555;24.515;24.54;27400
230601;102900;24.54;24.545;24.525;24.535;42000
230601;103000;24.53;24.56;24.525;24.56;77400
230601;103100;24.56;24.56;24.53;24.555;21000
230601;103200;24.545;24.555;24.51;24.53;47900
230601;103300;24.53;24.55;24.53;24.55;33700
230601;103400;24.55;24.55;24.52;24.52;74500
230601;103500;24.54;24.56;24.535;24.535;26200
230601;103600;24.535;24.54;24.53;24.53;2600
230601;103700;24.52;24.55;24.52;24.55;98300
230601;103800;24.55;24.57;24.545;24.555;107600
230601;103900;24.555;24.565;24.55;24.555;27900
230601;104000;24.56;24.57;24.555;24.57;49500
230601;104100;24.57;24.57;24.56;24.565;20900
230601;104200;24.57;24.57;24.555;24.555;56200
230601;104300;24.565;24.565;24.55;24.555;56200
230601;104400;24.56;24.565;24.55;24.565;28400
230601;104500;24.565;24.57;24.56;24.57;71200
230601;104600;24.565;24.57;24.56;24.57;31200
230601;104700;24.57;24.575;24.56;24.56;46600
230601;104800;24.57;24.575;24.555;24.565;22300
230601;104900;24.57;24.57;24.55;24.55;53400
230601;105000;24.55;24.56;24.55;24.55;4200
230601;105100;24.54;24.56;24.535;24.55;52100
230601;105200;24.55;24.56;24.55;24.555;5800
230601;105300;24.55;24.56;24.55;24.55;27500
230601;105400;24.55;24.55;24.55;24.55;6500
230601;105500;24.56;24.56;24.55;24.56;5400
230601;105600;24.555;24.57;24.555;24.57;7100
230601;105700;24.56;24.57;24.56;24.57;16600
230601;105800;24.565;24.565;24.555;24.565;2200
230601;105900;24.565;24.565;24.555;24.56;600
230601;110000;24.555;24.57;24.55;24.55;51700
230601;110100;24.565;24.565;24.55;24.56;53800
230601;110200;24.56;24.56;24.54;24.54;6900
230601;110300;24.535;24.555;24.53;24.555;10200
230601;110400;24.555;24.555;24.54;24.555;47000
230601;110500;24.555;24.555;24.55;24.55;3000
230601;110600;24.555;24.555;24.555;24.555;1800
230601;110700;24.555;24.56;24.555;24.56;60500
230601;110800;24.56;24.56;24.555;24.555;7700
230601;110900;24.56;24.56;24.555;24.56;3600
230601;111000;24.555;24.56;24.55;24.55;2000
230601;111100;24.555;24.555;24.555;24.555;5100
230601;111200;24.56;24.56;24.54;24.55;56600
230601;111300;24.55;24.56;24.55;24.56;700
230601;111400;24.555;24.555;24.555;24.555;9500
230601;111500;24.555;24.555;24.55;24.55;1600
230601;111600;24.55;24.555;24.55;24.555;4300
230601;111700;24.555;24.56;24.55;24.55;1900
230601;111800;24.555;24.56;24.55;24.56;10600
230601;111900;24.55;24.555;24.54;24.555;12000
230601;112000;24.535;24.535;24.535;24.535;100
230601;112100;24.54;24.55;24.54;24.55;1500
230601;112200;24.54;24.54;24.54;24.54;300
230601;112300;24.54;24.54;24.535;24.54;5100
230601;112400;24.535;24.54;24.53;24.54;1800
230601;112500;24.53;24.53;24.53;24.53;800
230601;112600;24.535;24.54;24.535;24.54;5400
230601;112700;24.55;24.56;24.55;24.55;19900
230601;112800;24.555;24.56;24.55;24.56;8800
230601;112900;24.545;24.56;24.54;24.54;6600
230601;113000;24.54;24.54;24.54;24.54;200
230601;113100;24.56;24.56;24.56;24.56;1900
230601;113200;24.555;24.555;24.555;24.555;1500
230601;113300;24.545;24.545;24.535;24.535;8000
230601;113400;24.545;24.56;24.535;24.535;25900
230601;113500;24.55;24.55;24.55;24.55;2000
230601;113600;24.55;24.55;24.54;24.55;1200
230601;113700;24.55;24.55;24.54;24.54;2300
230601;113800;24.545;24.545;24.545;24.545;5100
230601;113900;24.545;24.545;24.54;24.54;3100
230601;114000;24.545;24.545;24.54;24.545;2700
230601;114100;24.55;24.55;24.535;24.55;3500
230601;114200;24.535;24.535;24.535;24.535;2500
230601;114300;24.54;24.54;24.53;24.53;3100
230601;114400;24.54;24.54;24.52;24.525;19800
230601;114500;24.525;24.53;24.495;24.495;100800
230601;114600;24.495;24.495;24.495;24.495;200
230601;114700;24.505;24.505;24.495;24.495;800
230601;114800;24.495;24.515;24.495;24.515;5800
230601;114900;24.515;24.515;24.51;24.515;8200
230601;115000;24.515;24.515;24.515;24.515;7300
230601;115100;24.515;24.525;24.515;24.525;14400
230601;115200;24.515;24.515;24.51;24.51;7100
230601;115300;24.51;24.51;24.51;24.51;1500
230601;115400;24.51;24.51;24.505;24.505;2600
230601;115500;24.505;24.505;24.495;24.5;11800
230601;115600;24.5;24.5;24.495;24.5;6200
230601;115700;24.5;24.505;24.49;24.505;23600
230601;115900;24.505;24.505;24.505;24.505;2500
230601;120000;24.5;24.505;24.495;24.495;1600
230601;120100;24.495;24.495;24.48;24.48;19600
230601;120200;24.48;24.48;24.46;24.47;25700
230601;120300;24.47;24.47;24.465;24.47;16300
230601;120400;24.465;24.47;24.465;24.47;2900
230601;120500;24.47;24.49;24.45;24.49;88500
230601;120600;24.49;24.49;24.48;24.48;9200
230601;120700;24.48;24.48;24.46;24.46;9200
230601;120800;24.465;24.465;24.46;24.46;300
230601;120900;24.46;24.47;24.45;24.47;34700
230601;121100;24.465;24.465;24.45;24.45;1300
230601;121200;24.465;24.465;24.465;24.465;300
230601;121300;24.455;24.455;24.455;24.455;3400
230601;121400;24.455;24.455;24.415;24.415;70100
230601;121500;24.435;24.435;24.415;24.435;42600
230601;121600;24.435;24.435;24.41;24.435;26400
230601;121700;24.43;24.43;24.43;24.43;600
230601;121800;24.43;24.43;24.415;24.415;4500
230601;121900;24.415;24.425;24.41;24.415;1600
230601;122000;24.415;24.43;24.4;24.42;35700
230601;122100;24.43;24.43;24.42;24.42;1100
230601;122200;24.42;24.42;24.4;24.4;25200
230601;122300;24.405;24.42;24.405;24.42;11300
230601;122500;24.41;24.42;24.41;24.42;2400
230601;122600;24.415;24.445;24.415;24.445;11500
230601;122700;24.44;24.45;24.435;24.435;14000
230601;122800;24.435;24.435;24.435;24.435;1000
230601;122900;24.425;24.425;24.415;24.415;33900
230601;123000;24.42;24.42;24.41;24.415;18900
230601;123100;24.415;24.415;24.41;24.415;6500
230601;123200;24.415;24.415;24.41;24.415;6900
230601;123300;24.415;24.44;24.415;24.44;4900
230601;123400;24.445;24.445;24.425;24.445;3800
230601;123500;24.445;24.45;24.435;24.45;5000
230601;123600;24.45;24.455;24.45;24.455;500
230601;123700;24.46;24.46;24.45;24.45;1700
230601;123800;24.45;24.45;24.45;24.45;2600
230601;123900;24.45;24.45;24.44;24.45;3800
230601;124000;24.44;24.44;24.435;24.435;5500
230601;124100;24.44;24.44;24.435;24.44;4400
230601;124200;24.44;24.45;24.44;24.45;7700
230601;124400;24.44;24.45;24.44;24.45;10100
230601;124500;24.45;24.45;24.445;24.45;22600
230601;124600;24.445;24.445;24.425;24.425;14600
230601;124700;24.42;24.43;24.42;24.43;2700
230601;124800;24.43;24.435;24.43;24.43;10800
230601;124900;24.43;24.43;24.43;24.43;7100
230601;125100;24.425;24.43;24.425;24.425;1300
230601;125200;24.42;24.42;24.415;24.42;7700
230601;125300;24.42;24.42;24.41;24.41;2800
230601;125400;24.415;24.42;24.41;24.42;3900
230601;125500;24.42;24.425;24.41;24.425;26000
230601;125600;24.425;24.425;24.415;24.415;1000
230601;125700;24.415;24.42;24.405;24.42;30400
230601;125800;24.42;24.425;24.405;24.41;6800
230601;125900;24.425;24.425;24.425;24.425;900
230601;130100;24.415;24.42;24.415;24.415;700
230601;130200;24.415;24.42;24.405;24.405;23900
230601;130300;24.41;24.41;24.41;24.41;4300
230601;130400;24.41;24.415;24.41;24.41;5400
230601;130500;24.405;24.41;24.39;24.39;109500
230601;130600;24.385;24.395;24.315;24.315;264900
230601;130700;24.32;24.345;24.315;24.34;26100
230601;130800;24.335;24.345;24.33;24.345;10900
230601;130900;24.345;24.35;24.335;24.34;14400
230601;131000;24.345;24.355;24.345;24.355;6300
230601;131100;24.355;24.36;24.355;24.36;35400
230601;131200;24.36;24.365;24.36;24.365;2000
230601;131300;24.36;24.37;24.36;24.37;7100
230601;131400;24.37;24.375;24.37;24.375;4000
230601;131500;24.37;24.38;24.37;24.38;3800
230601;131600;24.385;24.39;24.38;24.385;4400
230601;131700;24.39;24.39;24.39;24.39;200
230601;131800;24.38;24.38;24.375;24.375;700
230601;131900;24.37;24.375;24.37;24.375;2200
230601;132000;24.38;24.38;24.38;24.38;3000
230601;132100;24.375;24.375;24.375;24.375;4900
230601;132200;24.375;24.375;24.375;24.375;100
230601;132300;24.37;24.37;24.36;24.36;700
230601;132400;24.375;24.38;24.375;24.38;10500
230601;132500;24.365;24.38;24.365;24.38;3600
230601;132600;24.37;24.37;24.35;24.35;16000
230601;132700;24.345;24.35;24.345;24.35;900
230601;132800;24.35;24.35;24.34;24.34;1900
230601;132900;24.34;24.34;24.33;24.33;21200
230601;133000;24.33;24.33;24.32;24.33;38600
230601;133100;24.33;24.335;24.325;24.335;5800
230601;133200;24.335;24.335;24.295;24.305;201000
230601;133300;24.305;24.305;24.3;24.305;8900
230601;133400;24.3;24.315;24.295;24.315;31500
230601;133500;24.32;24.32;24.32;24.32;800
230601;133600;24.32;24.32;24.32;24.32;25000
230601;133700;24.325;24.335;24.32;24.335;7800
230601;133800;24.335;24.36;24.335;24.36;61400
230601;133900;24.36;24.36;24.36;24.36;2000
230601;134000;24.355;24.365;24.35;24.35;5600
230601;134100;24.355;24.365;24.355;24.365;17500
230601;134200;24.365;24.365;24.365;24.365;1100
230601;134300;24.365;24.365;24.36;24.365;2800
230601;134400;24.37;24.37;24.365;24.365;800
230601;134500;24.365;24.375;24.365;24.375;500
230601;134600;24.37;24.37;24.365;24.365;600
230601;134700;24.365;24.365;24.365;24.365;200
230601;134800;24.37;24.37;24.36;24.36;4400
