<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20230609,000000,25.125,25.475,25.05,25.455,19480100
20230610,000000,25.875,26.1,25.455,25.495,39227600
20230614,000000,25.55,26.065,25.55,25.995,20693600
20230615,000000,26.075,26.36,25.755,25.905,29732000
20230616,000000,25.87,26.9,25.82,26.76,62666400
20230617,000000,26.81,26.87,26.465,26.655,18403400
20230620,000000,26.665,27.4,26.47,27.25,39442000
20230621,000000,27.28,27.65,27.12,27.39,38169200
20230622,000000,27.4,27.46,27.185,27.33,15762200
20230623,000000,27.305,27.44,26.74,27,25295500
20230624,000000,26.95,27.08,25.57,25.955,41202700
20230627,000000,26.395,26.985,25.93,26.52,57070400
20230628,000000,26.55,27.55,26.29,27.25,44569900
20230629,000000,27.34,28.23,27.105,27.96,81425800
20230630,000000,28.025,28.69,27.905,28.55,54849700
20230701,000000,28.69,28.89,28.255,28.44,36845000
20230704,000000,28.41,28.51,27.73,27.945,23568500
20230705,000000,27.83,28.485,27.455,27.88,39963300
20230706,000000,27.955,28.36,27.88,28.28,19702500
20230707,000000,28.315,28.56,27.805,28.1,27825100
20230708,000000,28.11,28.2,27.915,28.125,8584900
20230711,000000,28.34,28.35,28.06,28.25,15302000
20230712,000000,28.23,28.38,28.1,28.355,14590600
20230713,000000,28.39,29.15,28.365,28.935,36496900
20230714,000000,29.01,29.47,28.555,28.79,33075100
20230715,000000,28.75,29.14,28.55,29.095,17510600
20230718,000000,28.78,29.165,28.51,29,28066400
20230719,000000,29.005,29.87,28.86,29.855,53000700
20230720,000000,29.185,29.49,29.105,29.21,30315200
20230721,000000,29.21,29.23,28.325,28.355,26507400
20230722,000000,28.37,28.95,28.305,28.92,16720900
20230725,000000,28.82,29.09,28.62,28.825,18315500
20230726,000000,28.825,29.3,28.58,28.98,29834300
20230727,000000,28.99,29.26,28.83,29.17,18971400
20230728,000000,29.29,29.495,29.08,29.335,24190900
20230729,000000,29.33,29.5,29.115,29.255,20171400
20230801,000000,29.385,29.8,29.385,29.785,25196300
20230802,000000,29.78,31.8,29.53,31.375,90521400
20230803,000000,31.27,32.05,31.07,31.49,46879800
20230804,000000,31.5,31.85,31.145,31.785,35507500
20230805,000000,31.88,32.9,30.5,31.05,99943600
20230808,000000,31.25,31.84,30.215,30.65,49901900
20230809,000000,30.61,30.8,29.555,30.755,41805000
20230810,000000,30.84,31.035,30.29,30.79,25783200
20230811,000000,30.91,31.555,30.635,31.43,30173200
20230812,000000,31.445,32.44,31.115,32.26,49635600
20230815,000000,32.48,33.14,31,31.18,84562100
20230816,000000,30.895,32.27,30.33,31.015,73678700
20230817,000000,31.05,31.425,29.905,30.2,45204600
20230818,000000,30.52,30.72,29.905,30.38,24129100
20230819,000000,30.36,30.66,30.02,30.595,24356700
20230822,000000,30.715,30.8,30.33,30.435,29453800
20230823,000000,30.515,30.84,30.33,30.75,23362600
20230824,000000,30.805,31.165,30,30.2,43911300
20230825,000000,30.285,30.71,30.135,30.595,13630600
20230826,000000,30.65,30.74,30.29,30.51,10004900
20230829,000000,30.595,31.035,30.5,30.92,20110200
20230830,000000,31,31.55,30.82,31.335,30916300
20230831,000000,31.405,31.635,31.1,31.375,21284300
20230901,000000,31.395,31.6,31.225,31.34,17223700
20230902,000000,31.4,31.47,31.13,31.41,10730900
20230905,000000,31.525,32.3,31.45,32.14,30192200
20230906,000000,32.15,32.79,31.81,32.3,42342600
20230907,000000,32.335,32.395,31.66,32.215,30217200
20230908,000000,32.22,32.67,31.205,31.285,47428500
20230909,000000,31.295,31.52,30.55,30.685,29684600
20230912,000000,30.68,30.775,30.01,30.125,21538300
20230913,000000,30.43,30.925,30.11,30.9,26559600
20230914,000000,30.905,30.92,30.32,30.425,17214000
20230915,000000,30.4,30.5,29.705,30.27,27583200
20230916,000000,30.26,30.79,30.045,30.57,17907300
20230919,000000,30.7,30.89,30.22,30.355,14859000
20230920,000000,30.36,30.435,29.3,29.425,27722700
20230921,000000,29.495,29.675,28.615,29.2,32981600
20230922,000000,29.2,29.375,28.37,28.455,25519400
20230923,000000,28.49,28.935,28.2,28.66,18250400
20230926,000000,28.7,29.28,28.41,28.92,16046700
20230927,000000,28.925,28.95,28.54,28.735,18315200
20230928,000000,28.85,29.25,28.78,29.065,16222700
20230929,000000,29.14,30.25,29.015,30.025,23508500
20230930,000000,30.05,31.895,29.86,31.53,80867500
20231003,000000,31.85,33.46,31.7,32.59,201357800
20231004,000000,32.535,33.7,32.05,33.37,143936600
20231005,000000,33.395,34.175,32.775,32.785,132050800
20231006,000000,32.9,34.05,32.67,33.725,117032700
20231007,000000,33.925,34.1,33.26,33.835,66211100
20231010,000000,34.05,34.545,33.18,33.385,65247700
20231011,000000,33.43,33.67,33.11,33.29,24302200
20231012,000000,33.29,33.42,31.63,31.88,54405600
20231013,000000,31.79,32.38,31.575,32.235,36072800
20231014,000000,32.255,32.75,32.135,32.48,26454500
20231017,000000,32.6,32.89,32.23,32.785,27880400
20231018,000000,32.775,33.1,32.625,32.95,20792100
20231019,000000,32.99,33.15,32.56,32.96,28506300
20231020,000000,33.01,33.015,32.66,32.895,16092000
20231021,000000,32.905,32.905,32.135,32.615,32972400
20231024,000000,32.58,32.685,32.195,32.275,14757900
20231025,000000,32.19,33.075,31.9,32.82,45559100
20231026,000000,32.72,34.17,32.4,33.24,82285800
20231027,000000,33.24,33.52,32.45,32.575,26507500
20231028,000000,32.49,32.975,31.875,32.785,31644100
20231031,000000,32.67,33.575,32.49,32.98,26322900
20231101,000000,32.935,33.3,32.3,32.675,25148600
20231102,000000,32.705,32.88,32.14,32.345,24991900
20231103,000000,32.415,32.54,31.725,31.87,27177600
20231104,000000,31.965,32.035,31.36,31.775,26394700
20231107,000000,31.83,32.445,31.775,32.43,16042100
20231108,000000,32.37,32.5,32,32.06,13785900
20231109,000000,32.1,32.93,31.995,32.57,31414700
20231110,000000,32.545,33.135,32.195,32.78,40635400
20231111,000000,32.85,32.855,32.495,32.61,14154900
20231114,000000,32.62,32.645,32.22,32.305,14535000
20231115,000000,32.265,32.335,31.51,31.58,19955500
20231116,000000,31.6,32.17,31.41,32.06,13256600
20231117,000000,32.06,32.07,31,31.175,27429800
20231118,000000,31.175,32.46,30.965,32.305,41167000
20231121,000000,32.32,32.49,31.935,32.04,18235600
20231122,000000,32.04,32.4,31.86,32.345,16304800
20231123,000000,32.345,32.74,31.9,32.2,18814700
20231124,000000,32.135,32.215,31.615,31.95,9887400
20231125,000000,31.99,32.225,31.91,32.06,14969200
20231128,000000,32.02,32.08,31.4,31.62,20592000
20231129,000000,31.73,32,31.48,32,16898200
20231130,000000,32.05,32.28,31.54,31.81,14597400
20231201,000000,31.81,31.935,31.515,31.57,12948000
20231202,000000,31.57,31.74,30.46,30.855,31450800
20231205,000000,30.85,30.88,29.84,29.91,32135500
20231206,000000,29.99,30.165,29.29,29.74,35229000
20231207,000000,29.825,29.92,27.145,28.055,65445300
20231208,000000,28.09,28.44,27.515,28.02,50434500
20231209,000000,28.07,28.55,27.865,27.9,21409700
20231212,000000,27.95,27.96,26.51,26.92,56878600
20231213,000000,26.98,27.52,26.795,26.925,36121200
20231214,000000,26.85,27.33,26.56,27.31,18547900
20231215,000000,27.335,27.49,26.79,26.86,18744400
20231216,000000,26.975,28.005,26.935,27.715,38405900
20231219,000000,27.84,28.635,27.53,28.28,66360400
20231220,000000,28.29,28.3,27.755,28.06,33200100
20231221,000000,28.075,28.755,27.915,28.225,57688300
20231222,000000,28.23,28.27,27.35,27.56,50301800
20231223,000000,27.64,27.915,27.505,27.54,28401700
20231226,000000,27.7,28,27,27.5,80529200
20231227,000000,27.5,27.615,27.2,27.35,23642300
20231228,000000,27.37,27.42,26.925,26.995,32734500
20231229,000000,26.86,26.98,26.625,26.755,36033200
20231230,000000,26.76,26.97,26.63,26.885,21921300
20240104,000000,26.905,27.45,26.9,27.435,15506400
20240105,000000,27.46,27.695,27.365,27.595,13512900
20240106,000000,27.61,27.69,27.36,27.67,10712700
20240109,000000,27.715,28.485,27.705,28.46,37596800
20240110,000000,28.48,28.62,28.215,28.36,29292200
20240111,000000,28.325,28.73,28.225,28.695,27886600
20240112,000000,28.72,29.675,28.68,29.555,68399700
