<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SNGS;1;20240603;100100;28.78;28.945;28.755;28.89;1123900
SNGS;1;20240603;100200;28.89;28.94;28.845;28.92;489100
SNGS;1;20240603;100300;28.91;28.935;28.84;28.875;584200
SNGS;1;20240603;100400;28.855;28.97;28.845;28.95;809300
SNGS;1;20240603;100500;28.915;28.99;28.865;28.935;912100
SNGS;1;20240603;100600;28.94;28.945;28.805;28.855;385000
SNGS;1;20240603;100700;28.845;28.865;28.765;28.82;375200
SNGS;1;20240603;100800;28.815;28.835;28.78;28.83;377400
SNGS;1;20240603;100900;28.82;28.84;28.78;28.835;230600
SNGS;1;20240603;101000;28.835;28.85;28.805;28.805;264500
SNGS;1;20240603;101100;28.805;28.9;28.805;28.885;276100
SNGS;1;20240603;101200;28.9;28.98;28.88;28.91;502600
SNGS;1;20240603;101300;28.92;28.99;28.89;28.96;463900
SNGS;1;20240603;101400;28.965;28.97;28.915;28.97;124100
SNGS;1;20240603;101500;28.96;28.97;28.94;28.96;117800
SNGS;1;20240603;101600;28.945;28.985;28.94;28.965;407300
SNGS;1;20240603;101700;28.96;28.965;28.95;28.965;158100
SNGS;1;20240603;101800;28.96;29.08;28.96;29.08;1065000
SNGS;1;20240603;101900;29.075;29.14;29.07;29.125;844600
SNGS;1;20240603;102000;29.12;29.19;29.12;29.18;420800
SNGS;1;20240603;102100;29.18;29.195;29.13;29.13;274800
SNGS;1;20240603;102200;29.13;29.135;29.02;29.1;274100
SNGS;1;20240603;102300;29.1;29.12;29.05;29.12;72200
SNGS;1;20240603;102400;29.115;29.17;29.085;29.13;218000
SNGS;1;20240603;102500;29.115;29.165;29.065;29.095;137800
SNGS;1;20240603;102600;29.095;29.095;29.045;29.065;253100
SNGS;1;20240603;102700;29.045;29.095;29.02;29.035;239900
SNGS;1;20240603;102800;29.03;29.045;29.02;29.04;32600
SNGS;1;20240603;102900;29.045;29.055;28.96;28.98;317900
SNGS;1;20240603;103000;28.975;29.055;28.96;29.005;195300
SNGS;1;20240603;103100;29.005;29.03;28.97;28.995;60200
SNGS;1;20240603;103200;29;29.04;28.965;29.04;117200
SNGS;1;20240603;103300;29.035;29.075;29.035;29.045;44600
SNGS;1;20240603;103400;29.045;29.135;29.045;29.095;373000
SNGS;1;20240603;103500;29.105;29.11;29.03;29.03;191600
SNGS;1;20240603;103600;29.035;29.045;29.03;29.045;57500
SNGS;1;20240603;103700;29.04;29.04;28.96;28.96;126200
SNGS;1;20240603;103800;28.96;28.985;28.94;28.95;248100
SNGS;1;20240603;103900;28.945;29.045;28.94;29.035;98300
SNGS;1;20240603;104000;29.03;29.03;28.895;28.92;327500
SNGS;1;20240603;104100;28.935;28.945;28.895;28.895;24400
SNGS;1;20240603;104200;28.89;28.91;28.855;28.905;165900
SNGS;1;20240603;104300;28.91;28.915;28.87;28.895;34500
SNGS;1;20240603;104400;28.895;28.92;28.855;28.89;102100
SNGS;1;20240603;104500;28.89;28.895;28.82;28.825;291500
SNGS;1;20240603;104600;28.82;28.875;28.75;28.87;521800
SNGS;1;20240603;104700;28.845;28.89;28.825;28.83;105500
SNGS;1;20240603;104800;28.86;28.88;28.845;28.875;17800
SNGS;1;20240603;104900;28.875;28.88;28.85;28.855;21100
SNGS;1;20240603;105000;28.86;28.88;28.855;28.87;50500
SNGS;1;20240603;105100;28.86;28.92;28.84;28.875;379400
SNGS;1;20240603;105200;28.85;28.975;28.81;28.92;253100
SNGS;1;20240603;105300;28.92;28.985;28.92;28.93;188400
SNGS;1;20240603;105400;28.925;29.075;28.925;29.06;370500
SNGS;1;20240603;105500;29.06;29.06;28.915;28.96;329900
SNGS;1;20240603;105600;28.935;28.955;28.885;28.955;304500
SNGS;1;20240603;105700;28.95;29.065;28.95;29.03;168800
SNGS;1;20240603;105800;29.065;29.075;29.02;29.06;61900
SNGS;1;20240603;105900;29.06;29.06;28.975;29.005;49900
SNGS;1;20240603;110000;29.01;29.06;29.01;29.05;46900
SNGS;1;20240603;110100;29.05;29.105;28.98;29.105;382600
SNGS;1;20240603;110200;29.075;29.19;29.06;29.19;642300
SNGS;1;20240603;110300;29.19;29.235;29.18;29.18;201500
SNGS;1;20240603;110400;29.205;29.23;29.1;29.115;610800
SNGS;1;20240603;110500;29.14;29.16;29.11;29.16;95700
SNGS;1;20240603;110600;29.16;29.16;29.075;29.1;107000
SNGS;1;20240603;110700;29.1;29.175;29.07;29.17;274600
SNGS;1;20240603;110800;29.155;29.17;29.145;29.165;13100
SNGS;1;20240603;110900;29.17;29.18;29.17;29.17;36500
SNGS;1;20240603;111000;29.165;29.165;29.105;29.105;96700
SNGS;1;20240603;111100;29.125;29.13;29.115;29.13;29100
SNGS;1;20240603;111200;29.17;29.2;29.15;29.19;254000
SNGS;1;20240603;111300;29.18;29.19;29.175;29.18;43300
SNGS;1;20240603;111400;29.18;29.18;29.115;29.115;103700
SNGS;1;20240603;111500;29.145;29.19;29.135;29.135;32200
SNGS;1;20240603;111600;29.125;29.125;29.08;29.08;83800
SNGS;1;20240603;111700;29.08;29.105;29.01;29.01;230200
SNGS;1;20240603;111800;29.015;29.095;29.005;29.095;155600
SNGS;1;20240603;111900;29.065;29.065;29.015;29.02;44900
SNGS;1;20240603;112000;29.015;29.02;29;29;143000
SNGS;1;20240603;112100;29;29.085;29;29.05;28700
SNGS;1;20240603;112200;29.05;29.075;29.02;29.045;78700
SNGS;1;20240603;112300;29.025;29.05;28.975;28.975;67500
SNGS;1;20240603;112400;28.995;28.995;28.935;28.975;21500
SNGS;1;20240603;112500;28.97;28.97;28.95;28.96;46500
SNGS;1;20240603;112600;28.95;28.95;28.925;28.925;27500
SNGS;1;20240603;112700;28.93;28.93;28.91;28.915;53900
SNGS;1;20240603;112800;28.91;28.92;28.895;28.91;75600
SNGS;1;20240603;112900;28.91;28.935;28.91;28.93;25200
SNGS;1;20240603;113000;28.935;28.95;28.935;28.95;143000
SNGS;1;20240603;113100;28.94;28.95;28.94;28.95;15800
SNGS;1;20240603;113200;28.95;28.955;28.945;28.955;57300
SNGS;1;20240603;113300;28.95;28.95;28.945;28.945;32800
SNGS;1;20240603;113400;28.945;28.945;28.905;28.91;5800
SNGS;1;20240603;113500;28.91;28.93;28.91;28.93;3000
SNGS;1;20240603;113600;28.93;28.94;28.93;28.94;12600
SNGS;1;20240603;113700;28.955;28.955;28.935;28.935;48400
SNGS;1;20240603;113800;28.935;28.945;28.935;28.94;30900
SNGS;1;20240603;113900;28.94;28.94;28.87;28.885;194500
SNGS;1;20240603;114000;28.89;28.9;28.865;28.87;63200
SNGS;1;20240603;114100;28.87;28.87;28.86;28.865;22100
SNGS;1;20240603;114200;28.87;28.88;28.865;28.875;47700
SNGS;1;20240603;114300;28.87;28.895;28.81;28.81;110400
SNGS;1;20240603;114400;28.815;28.815;28.775;28.805;140400
SNGS;1;20240603;114500;28.805;28.805;28.78;28.78;8300
SNGS;1;20240603;114600;28.78;28.79;28.765;28.77;126900
SNGS;1;20240603;114700;28.77;28.775;28.64;28.655;543600
SNGS;1;20240603;114800;28.64;28.68;28.64;28.68;132600
SNGS;1;20240603;114900;28.665;28.69;28.665;28.69;85300
SNGS;1;20240603;115000;28.685;28.73;28.67;28.705;203000
SNGS;1;20240603;115100;28.7;28.73;28.7;28.71;46700
SNGS;1;20240603;115200;28.71;28.72;28.65;28.65;62400
SNGS;1;20240603;115300;28.655;28.66;28.6;28.605;182400
SNGS;1;20240603;115400;28.605;28.66;28.6;28.615;95100
SNGS;1;20240603;115500;28.615;28.635;28.585;28.63;161700
SNGS;1;20240603;115600;28.61;28.69;28.61;28.645;114400
SNGS;1;20240603;115700;28.665;28.665;28.625;28.625;35700
SNGS;1;20240603;115800;28.635;28.65;28.635;28.64;131300
SNGS;1;20240603;115900;28.64;28.65;28.625;28.65;266300
SNGS;1;20240603;120000;28.65;28.725;28.65;28.715;108100
SNGS;1;20240603;120100;28.7;28.705;28.66;28.66;41300
SNGS;1;20240603;120200;28.67;28.675;28.66;28.675;31800
SNGS;1;20240603;120300;28.665;28.67;28.625;28.625;103200
SNGS;1;20240603;120400;28.625;28.625;28.56;28.57;105300
SNGS;1;20240603;120500;28.56;28.63;28.39;28.48;1582700
SNGS;1;20240603;120600;28.475;28.515;28.475;28.505;62800
SNGS;1;20240603;120700;28.49;28.525;28.49;28.505;283000
SNGS;1;20240603;120800;28.51;28.51;28.49;28.49;66400
SNGS;1;20240603;120900;28.49;28.51;28.48;28.48;150500
SNGS;1;20240603;121000;28.505;28.53;28.5;28.515;98700
SNGS;1;20240603;121100;28.51;28.51;28.34;28.44;580600
SNGS;1;20240603;121200;28.44;28.445;28.395;28.4;52000
SNGS;1;20240603;121300;28.4;28.435;28.38;28.385;197800
SNGS;1;20240603;121400;28.405;28.46;28.305;28.37;1011600
SNGS;1;20240603;121500;28.355;28.415;28.355;28.37;284800
SNGS;1;20240603;121600;28.37;28.395;28.225;28.225;546600
SNGS;1;20240603;121700;28.25;28.28;28.225;28.25;275700
SNGS;1;20240603;121800;28.255;28.265;28.16;28.22;956800
SNGS;1;20240603;121900;28.22;28.365;28.195;28.325;577700
SNGS;1;20240603;122000;28.3;28.33;28.235;28.33;125900
SNGS;1;20240603;122100;28.345;28.52;28.32;28.46;489700
SNGS;1;20240603;122200;28.455;28.495;28.455;28.475;189300
SNGS;1;20240603;122300;28.475;28.555;28.475;28.535;463500
SNGS;1;20240603;122400;28.53;28.53;28.41;28.5;338800
SNGS;1;20240603;122500;28.465;28.5;28.395;28.495;199500
SNGS;1;20240603;122600;28.5;28.56;28.49;28.555;109800
SNGS;1;20240603;122700;28.55;28.55;28.44;28.44;120400
SNGS;1;20240603;122800;28.445;28.465;28.44;28.465;54500
SNGS;1;20240603;122900;28.465;28.55;28.46;28.505;168400
SNGS;1;20240603;123000;28.535;28.54;28.465;28.47;140800
SNGS;1;20240603;123100;28.47;28.515;28.465;28.515;138800
SNGS;1;20240603;123200;28.515;28.565;28.515;28.535;59000
SNGS;1;20240603;123300;28.55;28.56;28.52;28.52;63600
SNGS;1;20240603;123400;28.525;28.535;28.52;28.535;45400
SNGS;1;20240603;123500;28.535;28.55;28.53;28.535;46700
SNGS;1;20240603;123600;28.535;28.55;28.535;28.545;118700
SNGS;1;20240603;123700;28.535;28.54;28.52;28.525;85500
SNGS;1;20240603;123800;28.53;28.53;28.505;28.51;49500
SNGS;1;20240603;123900;28.51;28.51;28.47;28.47;65800
SNGS;1;20240603;124000;28.47;28.47;28.43;28.445;18500
SNGS;1;20240603;124100;28.425;28.425;28.375;28.375;71200
SNGS;1;20240603;124200;28.375;28.45;28.355;28.395;226000
SNGS;1;20240603;124300;28.42;28.42;28.335;28.37;141000
SNGS;1;20240603;124400;28.38;28.395;28.36;28.395;63300
SNGS;1;20240603;124500;28.395;28.47;28.39;28.44;86200
SNGS;1;20240603;124600;28.42;28.44;28.41;28.435;10400
SNGS;1;20240603;124700;28.425;28.49;28.425;28.425;103700
SNGS;1;20240603;124800;28.425;28.425;28.41;28.415;16000
SNGS;1;20240603;124900;28.41;28.41;28.38;28.4;156500
SNGS;1;20240603;125000;28.38;28.39;28.375;28.38;54900
SNGS;1;20240603;125100;28.38;28.4;28.37;28.395;194000
SNGS;1;20240603;125200;28.395;28.4;28.38;28.4;180400
SNGS;1;20240603;125300;28.395;28.4;28.395;28.4;132700
SNGS;1;20240603;125400;28.395;28.4;28.37;28.385;76800
SNGS;1;20240603;125500;28.395;28.4;28.395;28.4;88100
SNGS;1;20240603;125600;28.4;28.4;28.385;28.39;111600
SNGS;1;20240603;125700;28.395;28.395;28.39;28.395;27400
SNGS;1;20240603;125800;28.39;28.395;28.39;28.395;46900
SNGS;1;20240603;125900;28.39;28.4;28.39;28.4;179800
SNGS;1;20240603;130000;28.4;28.4;28.395;28.4;320000
SNGS;1;20240603;130100;28.4;28.4;28.395;28.4;637000
SNGS;1;20240603;130200;28.4;28.4;28.38;28.38;134500
SNGS;1;20240603;130300;28.375;28.4;28.355;28.375;184600
SNGS;1;20240603;130400;28.39;28.395;28.37;28.37;14800
SNGS;1;20240603;130500;28.37;28.4;28.35;28.4;54500
SNGS;1;20240603;130600;28.4;28.4;28.315;28.32;94600
SNGS;1;20240603;130700;28.32;28.36;28.32;28.345;16200
SNGS;1;20240603;130800;28.34;28.385;28.33;28.38;8900
SNGS;1;20240603;130900;28.365;28.375;28.35;28.365;32000
SNGS;1;20240603;131000;28.365;28.365;28.305;28.31;127200
SNGS;1;20240603;131100;28.305;28.325;28.27;28.3;116900
SNGS;1;20240603;131200;28.3;28.33;28.29;28.33;42100
SNGS;1;20240603;131300;28.31;28.33;28.2;28.235;241200
SNGS;1;20240603;131400;28.275;28.33;28.255;28.3;244300
SNGS;1;20240603;131500;28.31;28.315;28.26;28.26;39500
SNGS;1;20240603;131600;28.27;28.28;28.17;28.17;502700
SNGS;1;20240603;131700;28.17;28.17;28.11;28.16;260500
SNGS;1;20240603;131800;28.135;28.14;28.03;28.03;758500
SNGS;1;20240603;131900;28.035;28.08;28.03;28.055;397900
SNGS;1;20240603;132000;28.05;28.07;27.95;27.975;1123400
SNGS;1;20240603;132100;27.995;28.05;27.96;28.05;302800
SNGS;1;20240603;132200;28.05;28.05;28;28.045;241200
SNGS;1;20240603;132300;28.03;28.05;28.03;28.04;217000
SNGS;1;20240603;132400;28.045;28.05;28.005;28.05;186900
SNGS;1;20240603;132500;28.05;28.05;28;28.035;179900
SNGS;1;20240603;132600;28.035;28.05;28.03;28.03;49200
SNGS;1;20240603;132700;28.035;28.04;27.985;28;84500
SNGS;1;20240603;132800;27.985;27.995;27.85;27.865;568700
SNGS;1;20240603;132900;27.865;27.92;27.86;27.9;242200
SNGS;1;20240603;133000;27.895;27.895;27.825;27.825;405600
SNGS;1;20240603;133100;27.825;27.835;27.8;27.835;460400
SNGS;1;20240603;133200;27.83;27.845;27.79;27.79;354000
SNGS;1;20240603;133300;27.785;27.785;27.735;27.74;440800
SNGS;1;20240603;133400;27.74;27.785;27.725;27.78;499900
SNGS;1;20240603;133500;27.79;27.815;27.765;27.8;351600
SNGS;1;20240603;133600;27.795;27.84;27.78;27.8;364500
SNGS;1;20240603;133700;27.8;27.83;27.71;27.715;307800
SNGS;1;20240603;133800;27.725;27.77;27.71;27.755;124300
SNGS;1;20240603;133900;27.735;27.735;27.655;27.67;662500
SNGS;1;20240603;134000;27.675;27.675;27.61;27.62;735900
SNGS;1;20240603;134100;27.625;27.625;27.555;27.595;564100
SNGS;1;20240603;134200;27.595;27.72;27.595;27.675;415000
SNGS;1;20240603;134300;27.695;27.74;27.67;27.725;617200
SNGS;1;20240603;134400;27.72;27.775;27.715;27.755;294700
SNGS;1;20240603;134500;27.765;27.85;27.765;27.8;1049900
SNGS;1;20240603;134600;27.8;27.83;27.8;27.805;625700
SNGS;1;20240603;134700;27.8;27.805;27.725;27.76;347300
SNGS;1;20240603;134800;27.775;27.775;27.705;27.715;371300
SNGS;1;20240603;134900;27.725;27.73;27.675;27.7;147000
SNGS;1;20240603;135000;27.7;27.735;27.67;27.675;403900
SNGS;1;20240603;135100;27.67;27.67;27.61;27.62;243200
SNGS;1;20240603;135200;27.615;27.655;27.6;27.635;271900
SNGS;1;20240603;135300;27.635;27.65;27.55;27.585;623100
SNGS;1;20240603;135400;27.595;27.595;27.58;27.59;471000
SNGS;1;20240603;135500;27.595;27.725;27.59;27.725;1166300
SNGS;1;20240603;135600;27.725;27.735;27.685;27.735;191000
SNGS;1;20240603;135700;27.735;27.81;27.73;27.77;590300
SNGS;1;20240603;135800;27.77;27.85;27.74;27.815;591700
SNGS;1;20240603;135900;27.795;27.795;27.73;27.765;129100
SNGS;1;20240603;140000;27.74;27.74;27.675;27.675;189400
