<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200505,000000,0.03451,0.0351,0.034105,0.03486,32714550000
20200506,000000,0.035275,0.035655,0.03516,0.035475,29856620000
20200507,000000,0.0355,0.035895,0.035305,0.03531,33129280000
20200508,000000,0.03545,0.03594,0.035375,0.03553,26792360000
20200509,000000,0.0356,0.035785,0.03505,0.035375,26986470000
20200513,000000,0.03533,0.03551,0.0351,0.035185,20374090000
20200514,000000,0.035,0.03504,0.034205,0.034205,34569480000
20200515,000000,0.034075,0.0345,0.033915,0.03431,28864910000
20200516,000000,0.034625,0.03485,0.034215,0.034215,21619720000
20200519,000000,0.03462,0.035045,0.0345,0.03499,25496610000
20200520,000000,0.0351,0.03543,0.03467,0.03483,30033630000
20200521,000000,0.0348,0.035235,0.03463,0.03521,27873100000
20200522,000000,0.035255,0.03542,0.034785,0.03496,34177320000
20200523,000000,0.034775,0.03488,0.03453,0.03467,21206430000
20200526,000000,0.034815,0.03509,0.034805,0.035005,11932470000
20200527,000000,0.03519,0.03557,0.03506,0.0351,28543630000
20200528,000000,0.0351,0.03565,0.03505,0.03539,36400330000
20200529,000000,0.03555,0.03606,0.03541,0.03597,39963010000
20200530,000000,0.0359,0.03631,0.0353,0.03631,41072440000
20200602,000000,0.036405,0.03673,0.03627,0.03664,38301540000
20200603,000000,0.036735,0.037175,0.03665,0.037175,46020940000
20200604,000000,0.03727,0.03798,0.03725,0.03798,45821200000
20200605,000000,0.03787,0.0379,0.0368,0.03715,48002870000
20200606,000000,0.0373,0.037675,0.03719,0.037595,31381340000
20200609,000000,0.03773,0.037945,0.0374,0.037695,36921150000
20200610,000000,0.03779,0.037835,0.037165,0.0377,27758990000
20200611,000000,0.03776,0.037815,0.037365,0.03758,22753260000
20200612,000000,0.037265,0.03728,0.03644,0.036745,36661530000
20200616,000000,0.036195,0.03705,0.03583,0.036845,28560320000
20200617,000000,0.037195,0.03743,0.0368,0.03688,25708320000
20200618,000000,0.036925,0.03716,0.03645,0.0365,24835730000
20200619,000000,0.03643,0.036495,0.03583,0.0359,32640430000
20200620,000000,0.036125,0.03635,0.035255,0.035255,53947500000
20200623,000000,0.035395,0.03575,0.03523,0.035565,36179420000
20200624,000000,0.035555,0.03588,0.03543,0.03554,20508930000
20200626,000000,0.03511,0.0356,0.034975,0.0356,26235290000
20200627,000000,0.035565,0.0357,0.03504,0.03515,19429490000
20200630,000000,0.035155,0.03551,0.034845,0.035485,19382180000
20200701,000000,0.03543,0.03555,0.03492,0.03505,21450170000
20200703,000000,0.03514,0.03558,0.035135,0.03541,21507650000
20200704,000000,0.03552,0.035695,0.03538,0.03567,16942550000
20200707,000000,0.03597,0.03616,0.0358,0.03608,25440740000
20200708,000000,0.035985,0.036,0.035655,0.035735,21093550000
20200709,000000,0.03572,0.03575,0.035275,0.03551,28613630000
20200710,000000,0.035565,0.035585,0.035,0.035175,25468430000
20200711,000000,0.03499,0.035255,0.03486,0.035235,21485760000
20200714,000000,0.03536,0.035395,0.034955,0.035,21728000000
20200715,000000,0.03503,0.035055,0.03418,0.034915,37297990000
20200716,000000,0.035,0.035055,0.03474,0.034995,20337630000
20200717,000000,0.034815,0.03494,0.034625,0.03481,14515890000
20200718,000000,0.03482,0.03488,0.034605,0.0348,15439030000
20200721,000000,0.034785,0.037135,0.03465,0.0371,107887740000
20200722,000000,0.037155,0.03872,0.037155,0.03807,140223870000
20200723,000000,0.038,0.03835,0.03752,0.03789,50315350000
20200724,000000,0.038125,0.038205,0.03716,0.037465,37834310000
20200725,000000,0.03749,0.038025,0.03712,0.03795,29316980000
20200728,000000,0.03811,0.0395,0.038045,0.03921,90473020000
20200729,000000,0.039305,0.039515,0.03874,0.038905,32015610000
20200730,000000,0.038885,0.039295,0.0385,0.03924,40366650000
20200731,000000,0.038625,0.039115,0.03825,0.03861,44652330000
20200801,000000,0.03849,0.0389,0.03849,0.038755,28055260000
20200804,000000,0.03884,0.040135,0.03876,0.040125,66483160000
20200805,000000,0.040205,0.040705,0.03985,0.040385,43587170000
